City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Meycauayan,0,0,0.0,9,0,0.0,3,0,0.0,0,0,0.0,9,3,-6,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Montalban,2,0,0.0,5,0,0.0,3,0,0.0,2,1,0.5,7,5,-2,-0.2857142857142857,0,1,1,,0.0,21900.0,21900.0
Santa Cruz,3,0,0.0,1,0,0.0,1,0,0.0,7,0,0.0,4,8,4,1.0,0,0,0,,0.0,0.0,0.0
Bicol,1,0,0.0,4,0,0.0,1,0,0.0,5,0,0.0,5,6,1,0.19999999999999996,0,0,0,,0.0,0.0,0.0
Cagayan Valley,1,0,0.0,4,0,0.0,3,0,0.0,3,0,0.0,5,6,1,0.19999999999999996,0,0,0,,0.0,0.0,0.0
Rodriguez,0,0,0.0,7,0,0.0,3,0,0.0,1,0,0.0,7,4,-3,-0.4285714285714286,0,0,0,,0.0,0.0,0.0
Santo Tomas,0,0,0.0,5,0,0.0,1,0,0.0,5,0,0.0,5,6,1,0.19999999999999996,0,0,0,,0.0,0.0,0.0
Sto Tomas,1,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,7,4,-3,-0.4285714285714286,0,0,0,,0.0,0.0,0.0
Tacloban City,3,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,5,6,1,0.19999999999999996,0,0,0,,0.0,0.0,0.0
Tagum City,2,1,0.5,4,0,0.0,1,0,0.0,4,0,0.0,6,5,-1,-0.16666666666666663,1,0,-1,-1.0,11635.6,0.0,-11635.6
Trece Martires,2,0,0.0,4,0,0.0,2,1,0.5,3,0,0.0,6,5,-1,-0.16666666666666663,0,1,1,,0.0,23550.0,23550.0
Binan,2,0,0.0,3,0,0.0,1,0,0.0,4,0,0.0,5,5,0,0.0,0,0,0,,0.0,0.0,0.0
Cabanatuan,0,0,0.0,6,0,0.0,1,0,0.0,3,0,0.0,6,4,-2,-0.33333333333333337,0,0,0,,0.0,0.0,0.0
Cavite Area,0,0,0.0,2,0,0.0,4,0,0.0,4,0,0.0,2,8,6,3.0,0,0,0,,0.0,0.0,0.0
Olongapo,3,0,0.0,2,0,0.0,1,0,0.0,4,1,0.25,5,5,0,0.0,0,1,1,,0.0,19000.0,19000.0
Tagaytay,1,0,0.0,1,0,0.0,4,0,0.0,4,0,0.0,2,8,6,3.0,0,0,0,,0.0,0.0,0.0
Angeles,1,0,0.0,6,0,0.0,0,0,0.0,2,0,0.0,7,2,-5,-0.7142857142857143,0,0,0,,0.0,0.0,0.0
Indang,1,0,0.0,5,1,0.2,1,0,0.0,2,1,0.5,6,3,-3,-0.5,1,1,0,0.0,32743.6,24675.0,-8068.6
Kawit,3,0,0.0,4,0,0.0,0,0,0.0,2,0,0.0,7,2,-5,-0.7142857142857143,0,0,0,,0.0,0.0,0.0
Leyte,1,0,0.0,2,0,0.0,1,0,0.0,5,0,0.0,3,6,3,1.0,0,0,0,,0.0,0.0,0.0
Location Please,1,0,0.0,2,0,0.0,2,0,0.0,4,0,0.0,3,6,3,1.0,0,0,0,,0.0,0.0,0.0
Los Baños,0,0,0.0,6,0,0.0,1,1,1.0,2,0,0.0,6,3,-3,-0.5,0,1,1,,0.0,27390.0,27390.0
Mandaluyong City,1,0,0.0,5,0,0.0,1,0,0.0,2,0,0.0,6,3,-3,-0.5,0,0,0,,0.0,0.0,0.0
Roxas City,1,0,0.0,3,0,0.0,2,0,0.0,3,0,0.0,4,5,1,0.25,0,0,0,,0.0,0.0,0.0
San Pablo,0,0,0.0,6,0,0.0,0,0,0.0,3,0,0.0,6,3,-3,-0.5,0,0,0,,0.0,0.0,0.0
Teresa,0,0,0.0,4,0,0.0,1,0,0.0,4,0,0.0,4,5,1,0.25,0,0,0,,0.0,0.0,0.0
Butuan City,2,0,0.0,3,0,0.0,0,0,0.0,3,0,0.0,5,3,-2,-0.4,0,0,0,,0.0,0.0,0.0
Cagayan De Oro City,0,0,0.0,4,1,0.25,1,0,0.0,3,1,0.3333333333333333,4,4,0,0.0,1,1,0,0.0,11162.25,14371.0,3208.75
Calamba City,0,0,0.0,4,1,0.25,1,0,0.0,3,0,0.0,4,4,0,0.0,1,0,-1,-1.0,32743.6,0.0,-32743.6
Candelaria,0,0,0.0,5,0,0.0,1,0,0.0,2,0,0.0,5,3,-2,-0.4,0,0,0,,0.0,0.0,0.0
Lemery,1,0,0.0,7,0,0.0,0,0,0.0,0,0,0.0,8,0,-8,-1.0,0,0,0,,0.0,0.0,0.0
Lubao,0,0,0.0,7,0,0.0,0,0,0.0,1,0,0.0,7,1,-6,-0.8571428571428572,0,0,0,,0.0,0.0,0.0
Naic,1,0,0.0,4,0,0.0,1,0,0.0,2,0,0.0,5,3,-2,-0.4,0,0,0,,0.0,0.0,0.0
Navotas,2,0,0.0,1,0,0.0,2,0,0.0,3,0,0.0,3,5,2,0.6666666666666667,0,0,0,,0.0,0.0,0.0
San Jose,0,0,0.0,3,0,0.0,1,0,0.0,4,0,0.0,3,5,2,0.6666666666666667,0,0,0,,0.0,0.0,0.0
San Juan City,2,0,0.0,1,0,0.0,2,0,0.0,3,0,0.0,3,5,2,0.6666666666666667,0,0,0,,0.0,0.0,0.0
Sto. Tomas,4,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,6,2,-4,-0.6666666666666667,0,0,0,,0.0,0.0,0.0
Subic,0,0,0.0,4,0,0.0,2,0,0.0,2,0,0.0,4,4,0,0.0,0,0,0,,0.0,0.0,0.0
Tanay,3,0,0.0,2,0,0.0,1,0,0.0,2,0,0.0,5,3,-2,-0.4,0,0,0,,0.0,0.0,0.0
Alfonso,0,0,0.0,4,0,0.0,2,0,0.0,1,0,0.0,4,3,-1,-0.25,0,0,0,,0.0,0.0,0.0
Antique,2,0,0.0,3,0,0.0,0,0,0.0,2,0,0.0,5,2,-3,-0.6,0,0,0,,0.0,0.0,0.0
Bauan,1,0,0.0,3,0,0.0,0,0,0.0,3,0,0.0,4,3,-1,-0.25,0,0,0,,0.0,0.0,0.0
Calauan,2,0,0.0,1,0,0.0,1,0,0.0,3,0,0.0,3,4,1,0.33333333333333326,0,0,0,,0.0,0.0,0.0
Capas,1,0,0.0,1,0,0.0,2,0,0.0,3,0,0.0,2,5,3,1.5,0,0,0,,0.0,0.0,0.0
Cotabato City,0,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,3,4,1,0.33333333333333326,0,0,0,,0.0,0.0,0.0
General Santos,0,0,0.0,1,0,0.0,3,0,0.0,3,0,0.0,1,6,5,5.0,0,0,0,,0.0,0.0,0.0
Lucena,1,0,0.0,4,0,0.0,1,0,0.0,1,0,0.0,5,2,-3,-0.6,0,0,0,,0.0,0.0,0.0
Santiago City,0,0,0.0,2,0,0.0,1,0,0.0,4,0,0.0,2,5,3,1.5,0,0,0,,0.0,0.0,0.0
Tacloban,0,0,0.0,5,0,0.0,1,0,0.0,1,0,0.0,5,2,-3,-0.6,0,0,0,,0.0,0.0,0.0
Zambales,0,0,0.0,4,0,0.0,2,0,0.0,1,0,0.0,4,3,-1,-0.25,0,0,0,,0.0,0.0,0.0
Angono,0,0,0.0,2,0,0.0,0,0,0.0,4,1,0.25,2,4,2,1.0,0,1,1,,0.0,13036.8,13036.8
Arayat,1,0,0.0,4,0,0.0,0,0,0.0,1,1,1.0,5,1,-4,-0.8,0,1,1,,0.0,11601.2,11601.2
Bohol,0,0,0.0,5,0,0.0,0,0,0.0,1,0,0.0,5,1,-4,-0.8,0,0,0,,0.0,0.0,0.0
Calumpit,1,0,0.0,2,0,0.0,1,0,0.0,2,0,0.0,3,3,0,0.0,0,0,0,,0.0,0.0,0.0
Daet,0,0,0.0,3,0,0.0,2,0,0.0,1,0,0.0,3,3,0,0.0,0,0,0,,0.0,0.0,0.0
Dasmariñas City,2,0,0.0,2,1,0.5,2,0,0.0,0,0,0.0,4,2,-2,-0.5,1,0,-1,-1.0,40095.0,0.0,-40095.0
Ilocos Sur,1,0,0.0,4,0,0.0,1,0,0.0,0,0,0.0,5,1,-4,-0.8,0,0,0,,0.0,0.0,0.0
Laguna Area,2,0,0.0,1,0,0.0,0,0,0.0,3,0,0.0,3,3,0,0.0,0,0,0,,0.0,0.0,0.0
Lapu-Lapu City,1,0,0.0,3,1,0.3333333333333333,1,0,0.0,1,0,0.0,4,2,-2,-0.5,1,0,-1,-1.0,23095.0,0.0,-23095.0
Mabalacat City,0,0,0.0,6,0,0.0,0,0,0.0,0,0,0.0,6,0,-6,-1.0,0,0,0,,0.0,0.0,0.0
Malabon City,0,0,0.0,4,0,0.0,2,0,0.0,0,0,0.0,4,2,-2,-0.5,0,0,0,,0.0,0.0,0.0
Malvar,0,0,0.0,4,1,0.25,1,1,1.0,1,0,0.0,4,2,-2,-0.5,1,1,0,0.0,9641.8,33315.0,23673.2
Naga,0,0,0.0,5,0,0.0,0,0,0.0,1,0,0.0,5,1,-4,-0.8,0,0,0,,0.0,0.0,0.0
