City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Lamitan City,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Lamut,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Lanao Sur Area,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Lancaster Cavite,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Laoag,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Las Pibas,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Libon,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Lication,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Lication Nyo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ligao,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Liliw,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Liloy,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Loc 0O,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loc In Batangas,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loc Nyo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loc Pla,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loc Pls,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loc Poh,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Loc. Po,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loca Pampanga,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Located Ngane,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Locatio Nyo Ser,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Address Location,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Address Nìnyo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Din Po,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Mo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Mo Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Mopo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Ng Gulong Ph,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Ngani,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Nila,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Ninyo Po Sir,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Ninyo Sir,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Nio Pls,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Pls. Landmark Nyo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Pls..,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Plz,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Po Maam Sir,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Po Nyo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Po.,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Location Po/Hm,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Location Poh,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Locationp,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Locations,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Locs,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loction,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Loction Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Logar,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Loon,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Los Banos,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Lovation,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Lto East Ave.,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Lugait,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Maasin City,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mabinay,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mabolo,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Madaluyong,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Magkano Po Ba Budget Natin Sir,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Malapit Na Kasi Ma Pudpud Ung Gamit Ko,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Malayo,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Malayo Garahe Namin..,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mambusao,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mandaue City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Manny Aguilar C/O Personal Collection,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Manukan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Marcos,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Marcos Alvarez Bacoor,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Marcos Hi Way Near Sm Mkna,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Maria,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Marialo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Masinloc,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mataas Na Kahoy,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mati City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mayantoc,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mdam,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Me Bridgeton Po Kyo R18,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Medina,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mercedes,0,0,0.0,1,0,0.0,0,0,0.0,0,1,0.0,1,0,-1,-1.0,0,1,1,,0.0,26000.0,26000.0
Metro Manila Po,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Meycauyan,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mikel Halog,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mindananao Particularly Sultan Kudarat Province,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mindanao Po Ako,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mindanao Po Mam,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mindanao Po Moindanao Po Maam,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mindanao Sa Amin,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mindanso,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Mindoro Po Sir Arivo Po 195/55/15,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Minglanilla,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Moalboal,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Molino,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Mulnay,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Munoz Nueva Ecija Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Muñoz,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Nabas,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Nagcarlan,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Narra,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Narvacan,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Nasa Province Kac Ako,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Natividad,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ncr,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Near Laguna,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Near Metropolitan Hospital Po Kami,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Near Mindanao Ave.,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Near Sm Fairview,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Negros Ho,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Negros Oriental Sir,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Negros Poh,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
New Corella,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ng Store Niyo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ng Unit Sir,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Nh Shop,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Ninu Po,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Norte,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
North Cotabato,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
North Fairview,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Not Now,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Nova Qc Po,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Nueva Ecija Area Po,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Nueva Ecijav,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Numancia,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Obando,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Occidental Mindoro,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Orani,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Orion,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Oroquieta,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ortigas,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Oslob,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Oton,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Out Of Town,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pacheco Franco Lex Parking Tondo Manila,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,1,0,-1,-1.0,15923.8,0.0,-15923.8
Pacita,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pagbilao,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pakil,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Palawan Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Palo,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pampanga Area Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pampanga Location,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pampanga Location Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pampanga Po Ako,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pampanga Sir,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pampangga,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Panabo City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pangasinan Pa Po Ako Eh,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pangasinan Po Ako,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pangasinan Po Sir,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pangpanga,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Paniqui,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pantabangan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Paoay,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Para Sa Ertiga Suzuki Po.,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Paracale,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Parang,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pasong Tamo Near Visayas Ave/Tandang Sora Ave/Mindanao Area.,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Passi City,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pasuquin,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Patnongon,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pavia,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Peñaranda,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Ph-Riz-002,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Piat,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pigcawaran,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pinamalayan,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pinugay,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pontvedra,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Pp Branch Pinka.Malapit Sa Taguig,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Probinsya,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Province,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Puerto Princesa,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Puerto Princesa City,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Punta Na Lang Ako Dyan,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Pura,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Purok4 Mabini Llanera Nueva Ecija,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Qc Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Quezon Province Po,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Quirino,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Rapide Cavite,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Region 2,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Reina Mercedes,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Rizal Location.,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Rodriguez (Montalban),0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
S Bulacan,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Sa Cavite,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Sa Kanto Di Kami Nag Simba,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Saang Location Ito,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
Sagada,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,1,0,-1,-1.0,37995.0,0.0,-37995.0
Sagay City,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Salawag,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
Sampaloc,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
San Ang Area,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
San B Ang Office Nyo N Pwede Nming Kayong Puntahan,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
San Banda Un Place Nio,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
San Carlos,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
San Fabian,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
San Fernando City,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
San Francisco,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
San Gabriel,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
San Jacinto,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,1,1,,0,0,0,,0.0,0.0,0.0
San Loc,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,1,0,-1,-1.0,0,0,0,,0.0,0.0,0.0
