product_id,section_width,aspect_ratio,rim_diameter,size_display,is_light_truck,updated_at
12533,255,55,18,255/55 R18,false,2026-07-14T06:10:45
12534,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12535,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12536,285,40,18,285/40 R18,false,2026-07-14T06:10:45
12537,245,45,18,245/45 R18,false,2026-07-14T06:10:45
12538,255,50,18,255/50 R18,false,2026-07-14T06:10:45
12539,195,60,16,195/60 R16,false,2026-07-14T06:10:45
1254,275,45,20,275/45 R20,false,2026-07-14T06:10:45
12540,205,55,17,205/55 R17,false,2026-07-14T06:10:45
12541,215,55,17,215/55 R17,false,2026-07-14T06:10:45
12542,215,60,17,215/60 R17,false,2026-07-14T06:10:45
12543,235,45,18,235/45 R18,false,2026-07-14T06:10:45
12544,225,55,18,225/55 R18,false,2026-07-14T06:10:45
12545,225,60,18,225/60 R18,false,2026-07-14T06:10:45
12546,205,45,17,205/45 R17,false,2026-07-14T06:10:45
12547,155,70,13,155/70 R13,false,2026-07-14T06:10:45
12553,185,60,14,185/60 R14,false,2026-07-14T06:10:45
12554,175,65,14,175/65 R14,false,2026-07-14T06:10:45
12555,185,65,14,185/65 R14,false,2026-07-14T06:10:45
12557,175,70,14,175/70 R14,false,2026-07-14T06:10:45
12558,185,70,14,185/70 R14,false,2026-07-14T06:10:45
12560,185,55,15,185/55 R15,false,2026-07-14T06:10:45
12561,185,60,15,185/60 R15,false,2026-07-14T06:10:45
12562,175,65,15,175/65 R15,false,2026-07-14T06:10:45
12563,185,65,15,185/65 R15,false,2026-07-14T06:10:45
12564,195,70,14,195/70 R14,false,2026-07-14T06:10:45
12565,195,50,15,195/50 R15,false,2026-07-14T06:10:45
12566,195,55,15,195/55 R15,false,2026-07-14T06:10:45
12567,195,60,15,195/60 R15,false,2026-07-14T06:10:45
12568,205,60,15,205/60 R15,false,2026-07-14T06:10:45
12569,195,65,15,195/65 R15,false,2026-07-14T06:10:45
12570,205,65,15,205/65 R15,false,2026-07-14T06:10:45
12572,205,50,16,205/50 R16,false,2026-07-14T06:10:45
12574,205,55,16,205/55 R16,false,2026-07-14T06:10:45
12575,205,60,16,205/60 R16,false,2026-07-14T06:10:45
12576,215,60,16,215/60 R16,false,2026-07-14T06:10:45
12577,225,60,16,225/60 R16,false,2026-07-14T06:10:45
12578,205,40,17,205/40 R17,false,2026-07-14T06:10:45
12579,215,55,16,215/55 R16,false,2026-07-14T06:10:45
12580,225,55,16,225/55 R16,false,2026-07-14T06:10:45
12582,215,45,17,215/45 R17,false,2026-07-14T06:10:45
12584,235,45,17,235/45 R17,false,2026-07-14T06:10:45
12585,245,45,17,245/45 R17,false,2026-07-14T06:10:45
12589,225,55,17,225/55 R17,false,2026-07-14T06:10:45
1259,275,60,20,275/60 R20,false,2026-07-14T06:10:45
12590,235,55,17,235/55 R17,false,2026-07-14T06:10:45
12592,215,40,18,215/40 R18,false,2026-07-14T06:10:45
12593,225,40,18,225/40 R18,false,2026-07-14T06:10:45
12594,225,45,18,225/45 R18,false,2026-07-14T06:10:45
12595,245,45,18,245/45 R18,false,2026-07-14T06:10:45
12596,255,45,18,255/45 R18,false,2026-07-14T06:10:45
12597,225,50,18,225/50 R18,false,2026-07-14T06:10:45
12598,235,50,18,235/50 R18,false,2026-07-14T06:10:45
12599,245,50,18,245/50 R18,false,2026-07-14T06:10:45
1260,275,65,20,275/65 R20,false,2026-07-14T06:10:45
12600,235,65,18,235/65 R18,false,2026-07-14T06:10:45
12606,245,35,19,245/35 R19,false,2026-07-14T06:10:45
12607,225,40,19,225/40 R19,false,2026-07-14T06:10:45
12608,245,40,19,245/40 R19,false,2026-07-14T06:10:45
12609,255,40,19,255/40 R19,false,2026-07-14T06:10:45
12610,225,45,19,225/45 R19,false,2026-07-14T06:10:45
12611,245,45,19,245/45 R19,false,2026-07-14T06:10:45
12612,255,45,19,255/45 R19,false,2026-07-14T06:10:45
12614,275,30,20,275/30 R20,false,2026-07-14T06:10:45
12615,225,35,20,225/35 R20,false,2026-07-14T06:10:45
12617,255,35,20,255/35 R20,false,2026-07-14T06:10:45
12618,245,45,20,245/45 R20,false,2026-07-14T06:10:45
12619,235,50,19,235/50 R19,false,2026-07-14T06:10:45
12621,225,55,19,225/55 R19,false,2026-07-14T06:10:45
12623,245,55,19,245/55 R19,false,2026-07-14T06:10:45
12624,255,55,19,255/55 R19,false,2026-07-14T06:10:45
12625,255,45,20,255/45 R20,false,2026-07-14T06:10:45
12626,245,50,20,245/50 R20,false,2026-07-14T06:10:45
12627,255,50,20,255/50 R20,false,2026-07-14T06:10:45
12628,235,55,20,235/55 R20,false,2026-07-14T06:10:45
12629,225,60,17,225/60 R17,false,2026-07-14T06:10:45
12630,225,65,17,225/65 R17,false,2026-07-14T06:10:45
12631,245,40,20,245/40 R20,false,2026-07-14T06:10:45
12632,275,40,20,275/40 R20,false,2026-07-14T06:10:45
12633,275,45,20,275/45 R20,false,2026-07-14T06:10:45
12634,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12635,285,50,20,285/50 R20,false,2026-07-14T06:10:45
12642,285,45,22,285/45 R22,false,2026-07-14T06:10:45
12649,175,60,13,175/60 R13,false,2026-07-14T06:10:45
12650,165,65,13,165/65 R13,false,2026-07-14T06:10:45
12651,195,60,14,195/60 R14,false,2026-07-14T06:10:45
12652,205,65,16,205/65 R16,false,2026-07-14T06:10:45
12653,215,65,16,215/65 R16,false,2026-07-14T06:10:45
12655,235,55,18,235/55 R18,false,2026-07-14T06:10:45
12657,235,40,18,235/40 R18,false,2026-07-14T06:10:45
12658,245,40,18,245/40 R18,false,2026-07-14T06:10:45
12659,275,40,18,275/40 R18,false,2026-07-14T06:10:45
12660,255,50,18,255/50 R18,false,2026-07-14T06:10:45
12661,255,55,18,255/55 R18,false,2026-07-14T06:10:45
12662,205,65,15,205/65 R15,false,2026-07-14T06:10:45
12663,205,70,15,205/70 R15,false,2026-07-14T06:10:45
12664,215,75,15,215/75 R15,false,2026-07-14T06:10:45
12665,235,75,15,235/75 R15,false,2026-07-14T06:10:45
12667,225,70,16,225/70 R16,false,2026-07-14T06:10:45
12668,235,70,16,235/70 R16,false,2026-07-14T06:10:45
12669,245,70,16,245/70 R16,false,2026-07-14T06:10:45
1267,285,45,20,285/45 R20,false,2026-07-14T06:10:45
12670,265,70,16,265/70 R16,false,2026-07-14T06:10:45
12671,,75,16,,false,2026-07-14T06:10:45
12672,,75,16,,false,2026-07-14T06:10:45
12673,265,75,16,265/75 R16,false,2026-07-14T06:10:45
12674,,75,16,,false,2026-07-14T06:10:45
12675,235,65,17,235/65 R17,false,2026-07-14T06:10:45
12676,245,65,17,245/65 R17,false,2026-07-14T06:10:45
12677,265,65,17,265/65 R17,false,2026-07-14T06:10:45
12678,265,70,17,265/70 R17,false,2026-07-14T06:10:45
12679,,70,17,,false,2026-07-14T06:10:45
12680,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12681,265,50,20,265/50 R20,false,2026-07-14T06:10:45
12682,235,75,15,235/75 R15,false,2026-07-14T06:10:45
12685,225,70,16,225/70 R16,false,2026-07-14T06:10:45
12686,235,70,16,235/70 R16,false,2026-07-14T06:10:45
12687,245,70,16,245/70 R16,false,2026-07-14T06:10:45
12688,255,70,16,255/70 R16,false,2026-07-14T06:10:45
12689,265,70,16,265/70 R16,false,2026-07-14T06:10:45
12690,235,65,17,235/65 R17,false,2026-07-14T06:10:45
12691,245,65,17,245/65 R17,false,2026-07-14T06:10:45
12692,265,65,17,265/65 R17,false,2026-07-14T06:10:45
12693,265,70,17,265/70 R17,false,2026-07-14T06:10:45
12694,215,55,18,215/55 R18,false,2026-07-14T06:10:45
12695,235,60,18,235/60 R18,false,2026-07-14T06:10:45
12696,265,60,18,265/60 R18,false,2026-07-14T06:10:45
12697,,75,16,,false,2026-07-14T06:10:45
12698,,75,16,,false,2026-07-14T06:10:45
12699,,75,16,,false,2026-07-14T06:10:45
12700,,70,17,,false,2026-07-14T06:10:45
12701,,70,17,,false,2026-07-14T06:10:45
12704,175,70,14,175/70 R14,false,2026-07-14T06:10:45
12705,185,,14,,false,2026-07-14T06:10:45
12706,195,,14,,false,2026-07-14T06:10:45
12707,195,70,15,195/70 R15,false,2026-07-14T06:10:45
12708,205,70,15,205/70 R15,false,2026-07-14T06:10:45
12709,215,70,15,215/70 R15,false,2026-07-14T06:10:45
12710,225,70,15,225/70 R15,false,2026-07-14T06:10:45
12711,195,,15,,false,2026-07-14T06:10:45
12712,205,65,16,205/65 R16,false,2026-07-14T06:10:45
12713,225,65,16,225/65 R16,false,2026-07-14T06:10:45
12714,235,65,16,235/65 R16,false,2026-07-14T06:10:45
12715,195,75,16,195/75 R16,false,2026-07-14T06:10:45
12716,205,75,16,205/75 R16,false,2026-07-14T06:10:45
12717,215,75,16,215/75 R16,false,2026-07-14T06:10:45
